"","H1","H2","H3","H4","H5","U1","U2","U3","U4","U5"
"ASV_1",28725,1930,1383,1370,1426,719,472,1109,501,897
"ASV_3",53559,1586,1521,1967,1619,560,2373,849,1941,732
"ASV_4",320,752,224,3863,0,13169,126266,1815,87408,2560
"ASV_5",43343,218,7879,735,180,47,1097,146,4512,0
"ASV_6",1359,171,800,2635,1003,15439,22234,8391,28356,3625
"ASV_7",157,0,234,0,0,0,128,0,40,7
"ASV_8",283,3,28,412,15,8635,2317,6807,5349,10978
"ASV_9",90,83,97,403,0,3401,47954,3181,13234,4206
"ASV_10",36,4,0,441,0,0,0,8,18,0
"ASV_11",0,0,0,109,0,0,0,0,0,0
"ASV_12",18,15,73,886,0,24048,420,5794,3726,549
"ASV_13",0,0,0,360,0,0,0,0,0,0
"ASV_14",412,16,1012,0,0,0,0,5,0,10
"ASV_15",10265,42,3459,17220,845,0,2301,37,479,47
"ASV_16",35,6,25,95,0,521,0,1781,214,6025
"ASV_17",0,35,38,199,0,9539,9441,2120,5449,1748
"ASV_18",0,0,0,147,0,0,0,0,0,0
"ASV_19",0,0,0,237,0,42,0,0,0,0
"ASV_20",0,69,32,175,0,19690,4316,1015,8095,1117
"ASV_21",0,1,0,403,0,0,0,0,0,0
"ASV_22",0,0,1,142,0,91,144,94,612,38
"ASV_23",245,59,27,474,0,10769,0,4966,0,306
"ASV_24",372,466,708,555,456,367,92,425,381,4231
"ASV_25",8990,455,148,33283,534,0,0,0,0,21
"ASV_26",0,0,0,166,0,0,0,0,0,0
"ASV_27",70,30,83,256,0,3615,113,3328,4200,1594
"ASV_28",60,20,0,1394,0,0,0,0,0,0
"ASV_30",572,1642,641,322,2008,579,354,500,162,397
"ASV_31",86,30,23,90,0,816,16704,1025,4748,2013
"ASV_32",7434,79,233,19083,416,0,0,5,11,17
"ASV_33",648,1379,734,294,2314,162,251,332,267,569
"ASV_34",0,0,0,185,0,0,0,0,0,0
"ASV_35",0,0,0,0,0,112,3408,6,0,5269
"ASV_36",28,452,73,0,0,607,431,926,8580,841
"ASV_38",4175,556,131,36156,223,0,0,0,0,15
"ASV_40",0,0,0,275,0,0,0,0,0,0
"ASV_41",0,0,0,123,0,0,0,0,0,0
"ASV_42",264,28,55,56480,0,0,133,8,0,32
"ASV_43",0,0,0,384,0,0,0,0,0,0
"ASV_44",156,235,373,0,223,0,0,99,207,3185
"ASV_45",0,6,17,0,0,9401,3506,299,4289,1617
"ASV_47",0,1,10,62,13,0,2947,25,67,3256
"ASV_48",0,0,0,76,0,0,0,0,0,0
"ASV_49",18,0,0,0,0,13,113,0,0,65
"ASV_50",2356,28,0,0,0,472,6473,559,5262,404
"ASV_51",0,67,16,114,0,1196,1958,774,14474,131
"ASV_52",20,2,28,0,0,0,0,0,0,0
"ASV_53",0,0,0,109,0,0,0,0,0,0
"ASV_54",0,0,0,180,0,0,0,0,0,0
"ASV_55",184,40,566,0,0,0,0,0,0,0
"ASV_56",28,3,48,152,0,10938,866,730,3401,335
"ASV_57",683,94,1631,0,0,0,128,0,33,16
"ASV_58",8204,84,153,12347,326,0,0,0,0,23
"ASV_59",0,0,0,156,0,0,0,0,0,0
"ASV_60",0,12,17,465,0,477,8160,621,3210,750
"ASV_61",21,0,57,28,0,4915,892,905,3368,1494
"ASV_62",209,58,45,299,0,852,4833,1425,6508,492
"ASV_63",854,330,495,0,0,216,1035,1074,3397,146
"ASV_65",0,7,30,242,0,89,3045,305,726,529
"ASV_67",408,670,830,76,316,0,0,5,51,14
"ASV_69",3023,161,156,194,221,0,0,103,0,88
"ASV_71",13,1,0,213,0,0,0,0,0,0
"ASV_72",0,0,0,180,0,0,0,0,0,0
"ASV_73",1634,15,263,2597,0,354,1025,421,3726,55
"ASV_75",6713,45,1001,0,0,0,0,0,403,0
"ASV_76",0,0,0,0,0,0,0,0,33,8
"ASV_79",24,0,0,161,0,0,0,0,0,0
"ASV_80",0,210,6,47,0,2093,1353,147,4643,427
"ASV_81",216,2,5,1123,0,0,0,21,214,9
"ASV_82",4950,82,128,0,281,180,0,74,0,30
"ASV_83",0,0,0,128,0,0,0,0,0,0
"ASV_85",14,82,17,0,0,1063,861,0,9297,1022
"ASV_86",0,0,0,85,0,0,0,0,0,0
"ASV_88",0,0,0,147,0,0,0,0,0,0
"ASV_89",1428,666,621,327,734,52,0,62,0,0
"ASV_90",0,0,0,71,0,0,0,0,0,0
"ASV_91",0,0,0,114,0,0,0,0,0,3
"ASV_92",0,0,0,270,0,0,0,0,0,0
"ASV_94",0,0,0,76,0,0,0,0,0,0
"ASV_95",38,0,6,199,0,0,72,0,0,0
"ASV_96",0,7,0,0,0,3917,518,1890,588,58
"ASV_98",0,2,0,204,0,8277,103,1203,857,123
"ASV_99",0,0,0,118,0,0,0,0,0,0
