,X1,X10,X11,X12,X2,X3,X39,X4,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X5,X50,X6,X7,X77,X78,X79,X8,X80,X81,X82,X83,X84,X85,X86,X87,X88,X9,ISR1,ISR3,ISR4
ASV_1,0,0,26,0,0,0,0,0,43,0,33,0,0,0,0,0,0,0,0,0,4,0,0,141,0,0,82,5,11,0,0,0,0,7,12,0,0,0,0
ASV_3,0,0,6,0,0,19,0,0,0,0,34,0,0,0,0,0,5,37,0,35,0,0,0,2145,14,17,189,24,0,0,78,0,19,0,47,0,0,0,0
ASV_4,93,74,122,0,39,0,2042,49,333,503,1421,178,621,0,156,169,699,847,24,412,590,0,1120,1292,608,41,889,2755,753,3221,1119,652,715,6025,657,74,0,0,0
ASV_5,0,0,0,0,0,16,0,0,22,5,220,0,17,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,10,0,0,0,0
ASV_6,0,53,0,53,0,74,141,0,214,106,302,0,102,0,50,0,90,292,0,159,130,0,226,526,216,0,266,385,109,382,578,229,203,349,174,0,16,0,0
ASV_7,0,0,38,0,0,0,0,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,452,0,0,16,0,0,0,0,21,0,0,0,0
ASV_9,0,0,0,0,0,0,14,0,35,81,265,14,0,0,0,0,52,382,0,76,0,0,1511,347,345,0,280,3554,235,4264,2272,639,300,1598,592,0,0,0,0
ASV_10,1687,2723,1917,1266,186,366,2009,855,561,768,1891,185,717,34,1681,1722,2396,855,66,3101,1105,1055,209,268,2167,1498,383,2108,553,2492,1446,559,1357,1322,838,1964,399,155,0
ASV_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
ASV_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,139,216,0,238,699,39,1368,280,194,130,233,133,0,0,0,0
ASV_13,1313,1412,941,724,328,576,1584,1559,602,964,1283,557,931,0,826,914,1431,856,172,1410,1001,764,296,128,993,730,206,819,850,800,953,344,668,1074,1169,1338,745,186,23
ASV_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,166,0,0,69,0,12,0,0,0,0,0,0,0,0,0,0
ASV_15,0,0,0,0,0,19,0,0,0,71,99,0,0,0,0,0,0,67,0,47,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
