Sample,Salinity,Root,ASV_28,ASV_49,ASV_9,ASV_4,ASV_244,ASV_116,ASV_101,ASV_76,ASV_1062,ASV_3,ASV_39,ASV_32,ASV_10,ASV_415,ASV_65,ASV_47,ASV_22,ASV_249,ASV_351,ASV_13,ASV_581,ASV_18,ASV_689,ASV_34,ASV_73,ASV_112,ASV_33,ASV_100,ASV_327,ASV_26,ASV_21,ASV_23,ASV_284,ASV_19,ASV_31,ASV_140,ASV_763,ASV_30,ASV_80,ASV_17,ASV_188,ASV_29,ASV_224,ASV_548,ASV_25,ASV_48,ASV_260,ASV_663,ASV_43,ASV_147,ASV_420,ASV_250,ASV_358,ASV_27,ASV_501,ASV_52,ASV_106,ASV_302,ASV_134,ASV_12,ASV_1005,ASV_485,ASV_2014,ASV_37,ASV_442,ASV_222,ASV_988,ASV_111,ASV_212,ASV_1705,ASV_46,ASV_41,ASV_6,ASV_60,ASV_168,ASV_692,ASV_423,ASV_20,ASV_70,ASV_7,ASV_553,ASV_578,ASV_50,ASV_608,ASV_36,ASV_278,ASV_304,ASV_59,ASV_118,ASV_936,ASV_72,ASV_724,ASV_115,ASV_1050,ASV_74,ASV_99,ASV_78,ASV_316,ASV_369,ASV_135,ASV_86,ASV_1004,ASV_40,ASV_97,ASV_295,ASV_77,ASV_418,ASV_615,ASV_53,ASV_54,ASV_243,ASV_573,ASV_441,ASV_497,ASV_345,ASV_409,ASV_312,ASV_1087,ASV_142,ASV_1735,ASV_177,ASV_233,ASV_157,ASV_71,ASV_1637,ASV_93,ASV_1053,ASV_56,ASV_634,ASV_16,ASV_114,ASV_79,ASV_967,ASV_83,ASV_256,ASV_691,ASV_216,ASV_313,ASV_124,ASV_445,ASV_94,ASV_127,ASV_91,ASV_1129,ASV_1267,ASV_1753,ASV_81,ASV_241,ASV_163,ASV_556,ASV_92,ASV_183,ASV_104,ASV_1078,ASV_785,ASV_513,ASV_186,ASV_82,ASV_916,ASV_153,ASV_143,ASV_136,ASV_137,ASV_1623
X1,Ambient,Intact,20,46,0,93,0,0,20,91,0,0,1008,0,1687,0,41,6,400,0,35,1313,0,936,0,864,0,37,0,193,0,838,1041,0,0,1141,0,0,48,0,0,0,9,772,35,0,46,615,26,0,605,44,60,0,68,0,0,193,177,0,122,0,0,0,0,489,62,56,0,412,67,0,631,727,0,0,179,0,100,0,331,0,0,0,0,0,0,104,0,460,154,0,406,12,16,0,440,357,319,43,66,248,517,23,498,400,18,412,127,0,439,513,171,0,0,0,0,0,0,0,306,0,315,0,245,383,0,312,0,0,0,0,345,418,0,326,0,0,66,85,216,0,492,174,383,0,0,0,262,46,173,80,318,272,20,10,0,0,381,0,0,331,230,239,244,0
X10,Ambient,Disrupted,0,330,0,74,0,0,60,604,0,0,340,423,2723,0,37,72,553,0,38,1412,0,1281,0,601,59,194,0,205,308,908,745,0,0,960,0,0,528,0,0,0,351,866,303,0,306,386,0,0,671,0,121,117,31,0,0,269,339,0,166,0,0,0,0,851,30,106,52,152,186,0,541,568,53,0,224,26,133,0,363,0,0,0,0,0,0,114,0,436,182,0,312,0,327,0,440,152,495,62,184,249,362,32,671,303,197,338,54,0,699,574,185,0,20,11,115,0,0,0,218,0,128,111,218,300,0,677,0,0,0,0,240,554,0,375,0,0,169,140,267,0,354,344,696,0,49,0,443,0,305,49,291,202,20,82,0,129,44,0,140,188,267,254,363,0
X11,Ambient,Disrupted,59,60,0,122,0,0,98,310,0,6,214,2260,1917,0,28,14,576,959,33,941,0,862,0,390,106,217,0,145,0,624,736,0,0,728,0,0,17,0,0,0,36,409,75,0,1174,338,0,0,508,16,39,0,44,0,0,244,171,0,78,0,0,0,0,513,0,92,0,143,342,0,411,490,0,0,170,0,30,0,228,38,0,0,0,0,0,64,0,465,252,0,303,0,709,0,381,158,339,37,71,206,247,28,418,288,15,233,40,0,613,510,147,0,16,0,83,0,0,0,148,0,143,56,155,353,0,288,0,0,0,0,236,333,0,271,0,0,226,87,64,0,359,176,397,0,0,0,327,72,128,22,283,161,0,11,0,54,108,0,14,194,136,166,440,0
X12,Ambient,Disrupted,0,40,0,0,0,0,31,201,0,0,170,86,1266,0,0,5,69,0,54,724,0,665,0,825,0,61,0,71,385,286,995,0,0,594,11,0,53,0,0,0,41,261,65,0,126,579,0,0,400,16,9,90,51,0,0,139,135,0,332,0,0,0,0,182,74,316,0,311,252,0,309,492,53,0,315,0,53,0,413,0,0,0,0,0,0,140,123,360,254,0,461,0,130,0,123,276,215,0,84,126,286,0,302,276,74,524,54,0,200,351,0,0,78,0,0,0,0,0,50,0,209,0,130,445,0,197,0,0,0,0,304,257,0,437,0,0,98,81,105,0,266,93,246,0,0,0,151,59,139,46,338,119,0,0,0,0,261,0,0,266,61,91,161,0
X2,Ambient,Intact,0,44,0,39,0,0,19,46,870,0,218,77,186,0,0,0,105,0,26,328,0,348,0,193,0,0,0,129,0,305,214,0,0,315,0,0,473,0,0,0,63,217,31,0,75,177,0,0,316,10,19,81,0,0,0,221,185,0,149,0,0,0,0,230,42,158,0,95,303,0,118,169,0,0,83,0,11,0,197,0,0,0,0,0,0,135,0,98,31,0,114,0,34,0,130,97,200,47,0,107,75,228,213,114,34,154,0,0,75,145,102,0,42,0,0,0,0,0,47,0,59,102,142,77,0,0,0,0,0,0,145,34,0,125,0,0,62,54,94,0,57,91,50,0,0,0,28,0,169,168,113,0,0,0,0,22,0,0,0,58,113,55,53,0
X3,Ambient,Intact,0,0,0,0,0,0,19,55,59,19,56,16,366,0,0,11,133,0,0,576,0,512,0,267,0,56,0,31,552,317,197,0,0,345,0,0,44,0,0,0,35,317,31,0,27,139,0,0,275,0,0,48,0,0,0,62,138,0,86,0,0,0,0,243,0,26,0,138,229,0,142,149,74,0,98,0,12,0,133,0,0,0,0,0,0,44,265,122,42,0,150,0,105,0,122,151,193,67,0,115,71,0,230,113,38,129,0,0,86,159,0,0,51,203,0,0,0,0,59,0,76,0,59,43,0,66,0,0,0,0,102,88,0,109,0,0,47,0,42,0,86,113,105,0,0,0,71,34,133,28,125,76,12,0,0,19,42,0,163,52,101,55,161,0
X39,Medium,Intact,64,71,14,2042,0,0,65,80,0,0,160,0,2009,0,146,28,699,0,35,1584,0,1056,0,1159,0,62,0,216,61,1092,1043,0,0,1260,0,0,0,0,0,0,109,869,73,0,0,760,268,0,457,95,33,98,40,0,0,109,62,0,88,0,26,0,0,728,22,0,0,618,81,0,727,744,141,0,54,0,18,0,411,0,0,56,0,0,0,74,244,610,138,0,541,16,0,0,532,583,346,65,66,271,597,0,547,526,124,404,47,0,513,607,162,0,324,0,0,0,0,0,555,0,280,0,350,365,0,357,0,0,0,0,369,418,0,440,43,0,121,0,92,0,546,220,396,6,0,0,290,91,254,0,347,313,0,7,0,0,350,0,0,345,259,224,401,0
X4,Ambient,Intact,0,45,0,49,0,0,145,93,0,0,224,539,855,0,0,28,820,77,20,1559,0,1510,0,358,36,87,0,92,53,1617,657,0,0,1093,0,0,0,0,0,0,78,1210,291,0,389,420,0,0,427,382,13,140,0,0,0,180,85,0,162,0,0,0,0,1290,26,75,0,233,153,0,661,412,0,0,123,0,20,0,266,16,0,0,14,0,0,65,94,500,85,73,194,0,293,0,722,153,682,74,0,217,502,71,739,298,168,343,132,0,514,527,269,0,34,0,0,0,0,9,432,0,86,71,295,262,0,194,0,0,0,0,187,307,0,467,0,0,294,36,75,0,376,460,216,0,0,0,324,73,231,48,257,184,53,0,0,45,28,0,68,239,530,220,137,0
X40,Medium,Intact,291,113,35,333,0,0,115,135,0,0,308,0,561,0,54,22,157,0,31,602,0,468,0,238,56,48,0,517,31,318,484,0,0,344,0,0,0,0,0,0,715,328,117,0,0,225,101,0,322,236,17,72,45,0,0,400,237,0,255,0,0,0,0,266,70,0,9,70,50,0,166,349,214,14,27,0,8,0,445,13,0,31,0,0,0,0,0,176,97,0,179,34,0,0,128,209,179,53,0,129,107,16,279,169,93,283,0,0,232,164,0,0,52,0,0,0,0,0,89,0,95,0,56,156,0,115,0,0,0,0,124,184,0,151,0,0,90,102,189,0,99,101,142,0,0,0,227,129,160,0,246,81,36,0,0,41,39,0,0,0,85,133,99,0
X41,Medium,Intact,2004,0,81,503,0,0,358,56,0,0,943,63,768,0,171,0,719,0,42,964,0,944,0,140,145,133,0,334,0,800,447,0,0,939,0,0,0,0,0,0,0,724,87,0,0,218,186,0,267,84,35,0,28,0,0,304,304,0,118,0,0,0,0,715,92,25,0,122,100,0,363,237,106,58,139,0,0,0,207,0,0,101,62,0,0,49,0,398,153,0,149,0,0,0,433,102,385,31,0,250,266,0,360,223,0,209,36,0,346,256,194,0,19,0,0,0,0,6,255,0,47,0,133,170,0,124,0,0,0,0,129,119,0,172,0,0,112,94,116,0,232,283,150,35,0,0,253,46,134,0,180,132,59,0,0,0,9,0,62,127,239,223,91,0
