"","X1","X10","X11","X12","X2","X3","X39","X4","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X5","X50","X6","X7","X77","X78","X79","X8","X80","X81","X82","X83","X84","X85","X86","X87","X88","X9","AS1","AS2","FS1","FS2","ISR1","ISR3","ISR4"
"ASV_1",0,0,21,0,0,0,0,0,33,0,28,0,0,0,0,0,0,0,0,0,3,0,0,102,0,0,61,4,9,0,0,0,0,6,10,0,71408,30399,27,16,0,0,0
"ASV_3",0,0,5,0,0,14,0,0,0,0,29,0,0,0,0,0,4,30,0,30,0,0,0,1557,12,13,141,20,0,0,64,0,15,0,39,0,54930,6354,39,0,0,0,0
"ASV_4",78,64,100,0,29,0,1758,42,259,409,1221,131,506,0,126,137,609,686,17,353,492,0,803,938,510,32,665,2338,615,2698,926,470,579,5045,543,62,0,0,0,0,0,0,0
"ASV_5",0,0,0,0,0,12,0,0,17,4,189,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"ASV_6",0,46,0,42,0,55,121,0,166,86,259,0,83,0,40,0,78,236,0,136,108,0,162,382,181,0,199,327,89,320,478,165,164,292,144,0,0,0,14,12,13,0,0
"ASV_7",0,0,31,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,338,0,0,13,0,0,0,0,17,0,9085,49268,13,20,0,0,0
"ASV_9",0,0,0,0,0,0,12,0,27,66,228,10,0,0,0,0,45,309,0,65,0,0,1084,252,289,0,209,3017,192,3572,1881,461,243,1338,489,0,0,0,0,0,0,0,0
"ASV_10",1414,2361,1571,1014,139,274,1730,738,436,625,1625,136,584,23,1356,1399,2087,692,48,2656,922,855,150,194,1818,1170,286,1789,452,2088,1197,403,1099,1107,693,1649,0,0,661,775,328,110,0
"ASV_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,36723,0,0,0,0,0,0
"ASV_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,101,181,0,178,593,32,1146,232,140,105,195,110,0,0,0,0,0,0,0,0
"ASV_13",1100,1224,771,580,245,431,1364,1346,468,784,1103,410,759,0,666,743,1246,693,126,1208,835,619,212,93,833,570,154,695,695,670,789,248,541,899,966,1123,0,0,796,1457,612,132,15
"ASV_14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,120,0,0,51,0,10,0,0,0,0,0,0,0,15303,6362,0,0,0,0,0
"ASV_15",0,0,0,0,0,14,0,0,0,58,85,0,0,0,0,0,0,54,0,40,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
"ASV_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,85,50,88,0,0,668,0,414,469,47,51,621,339,0,0,0,0,0,0,0,0
"ASV_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,70,176,133,0,130,1832,62,903,1122,218,173,350,208,0,0,0,0,0,0,0,0
