"","H1","H2","H3","H4","H5","U1","U2","U3","U4","U5"
"ASV_1",20484,11100,5357,289,569,276,92,2908,225,2431
"ASV_3",38193,9118,5892,415,646,215,463,2226,872,1983
"ASV_4",228,4326,868,815,0,5053,24635,4758,39271,6936
"ASV_5",30908,1251,30514,155,72,18,214,384,2027,0
"ASV_6",969,984,3097,556,400,5924,4338,22001,12740,9822
"ASV_7",112,0,907,0,0,0,25,0,18,20
"ASV_8",202,19,109,87,6,3313,452,17847,2403,29745
"ASV_9",64,478,374,85,0,1305,9356,8339,5946,11397
"ASV_10",26,22,0,93,0,0,0,20,8,0
"ASV_11",0,0,0,23,0,0,0,0,0,0
"ASV_12",13,85,282,187,0,9227,82,15191,1674,1488
"ASV_13",0,0,0,76,0,0,0,0,0,0
"ASV_14",294,94,3920,0,0,0,0,12,0,26
"ASV_15",7320,241,13395,3633,337,0,449,98,215,127
"ASV_16",25,36,97,20,0,200,0,4669,96,16324
"ASV_17",0,199,149,42,0,3660,1842,5558,2448,4736
"ASV_18",0,0,0,31,0,0,0,0,0,0
"ASV_19",0,0,0,50,0,16,0,0,0,0
"ASV_20",0,395,122,37,0,7555,842,2661,3637,3027
"ASV_21",0,8,0,85,0,0,0,0,0,0
"ASV_22",0,0,4,30,0,35,28,246,275,103
"ASV_23",175,337,103,100,0,4132,0,13020,0,828
"ASV_24",265,2679,2740,117,182,141,18,1114,171,11463
"ASV_25",6411,2619,574,7022,213,0,0,0,0,57
"ASV_26",0,0,0,35,0,0,0,0,0,0
"ASV_27",50,175,321,54,0,1387,22,8726,1887,4320
"ASV_28",43,114,0,294,0,0,0,0,0,0
"ASV_29",0,12,0,0,0,0,0,0,0,0
"ASV_30",408,9443,2483,68,801,222,69,1312,73,1076
"ASV_31",61,171,91,19,0,313,3259,2687,2133,5453
"ASV_32",5301,457,904,4026,166,0,0,14,5,45
"ASV_33",462,7928,2844,62,923,62,49,870,120,1543
"ASV_34",0,0,0,39,0,0,0,0,0,0
"ASV_35",0,0,0,0,0,43,665,15,0,14276
"ASV_36",20,2597,284,0,0,233,84,2429,3855,2279
"ASV_38",2977,3199,509,7628,89,0,0,0,0,41
"ASV_40",0,0,0,58,0,0,0,0,0,0
"ASV_41",0,0,0,26,0,0,0,0,0,0
"ASV_42",188,159,213,11916,0,0,26,22,0,86
"ASV_43",0,0,0,81,0,0,0,0,0,0
"ASV_44",111,1349,1444,0,89,0,0,259,93,8630
"ASV_45",0,32,65,0,0,3607,684,785,1927,4382
"ASV_47",0,6,40,13,5,0,575,65,30,8821
"ASV_48",0,0,0,16,0,0,0,0,0,0
"ASV_49",13,0,0,0,0,5,22,0,0,177
"ASV_50",1680,159,0,0,0,181,1263,1465,2364,1095
"ASV_51",0,387,63,24,0,459,382,2028,6503,354
"ASV_52",14,12,109,0,0,0,0,0,0,0
"ASV_53",0,0,0,23,0,0,0,0,0,0
"ASV_54",0,0,0,38,0,0,0,0,0,0
"ASV_55",131,230,2193,0,0,0,0,0,0,0
"ASV_56",20,16,185,32,0,4197,169,1915,1528,909
"ASV_57",487,539,6318,0,0,0,25,0,15,42
"ASV_58",5850,482,593,2605,130,0,0,0,0,63
"ASV_59",0,0,0,33,0,0,0,0,0,0
"ASV_60",0,67,64,98,0,183,1592,1627,1442,2033
"ASV_61",15,0,219,6,0,1886,174,2372,1513,4048
"ASV_62",149,331,173,63,0,327,943,3736,2924,1334
"ASV_63",609,1896,1916,0,0,83,202,2815,1526,396
"ASV_65",0,40,118,51,0,34,594,799,326,1434
"ASV_67",291,3852,3214,16,126,0,0,14,23,39
"ASV_69",2156,926,604,41,88,0,0,271,0,239
"ASV_71",9,8,0,45,0,0,0,0,0,0
"ASV_72",0,0,0,38,0,0,0,0,0,0
"ASV_73",1165,88,1020,548,0,136,200,1103,1674,148
"ASV_75",4787,257,3876,0,0,0,0,0,181,0
