"","X1","X10","X11","X12","X2","X3","X39","X4","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X5","X50","X6","X7","X77","X78","X79","X8","X80","X81","X82","X83","X84","X85","X86","X87","X88","X9","AS1","AS2","FS1","FS2","ISR1","ISR3","ISR4"
"ASV_1",0,0,0.0281410806174957,0,0,0,0,0,0.0833396469429502,0,0.0255502427273059,0,0,0,0,0,0,0,0,0,0.00379545051997672,0,0,0.17620232172471,0,0,0.156945480742018,0.00312048991691696,0.0140344311377246,0,0,0,0,0.00572404384617586,0.0116164256258349,0,33.161815243438,27.9618455425144,0.0404318722951826,0.0163994916157599,0,0,0
"ASV_3",0,0,0.00670025728987993,0,0,0.0586903663955731,0,0,0,0,0.0264627513961383,0,0,0,0,0,0.00304861783289001,0.0356667300741868,0,0.0238680573788099,0,0,0,2.68967661691542,0.0140520158787779,0.0273218301422837,0.362775619420074,0.0156024495845848,0,0,0.0611848835097179,0,0.02332198330146,0,0.0453040599407562,0,25.5094458789218,5.84458589352073,0.0584015933152638,0,0,0,0
"ASV_4",0.0881814276347028,0.0590264327744268,0.134005145797599,0,0.123299319727891,0,1.5593815694936,0.0382283873081754,0.654089956309821,0.632568786055647,1.1141730846443,0.600724537992388,0.851335890705969,0,0.185313194005265,0.208390374494235,0.464152065057505,0.815579227696405,0.0946442489700479,0.28084747515733,0.622453885276182,0,3.94207167403044,1.62037037037037,0.597210674848063,0.0672537357348521,1.71096302776134,1.82392635643796,0.959019461077844,2.5290114546034,0.885268783281231,2.68832580220786,0.900228555436354,4.8129668673262,0.630771911482837,0.0733007814809122,0,0,0,0,0,0,0
"ASV_5",0,0,0,0,0,0.0503060283390626,0,0,0.0429325453948531,0.00618649179516526,0.172464138409315,0,0.0235547479641968,0,0,0.00912658574427307,0,0,0,0,0,0,0,0,0,0,0,0,0.0296282435129741,0,0,0,0,0,0.00929314050066794,0,0,0,0,0,0,0,0
"ASV_6",0,0.0424252485566193,0,0.0706904096677551,0,0.230569296554037,0.107329448184713,0,0.419223678561507,0.133009573596053,0.23633974522758,0,0.139646005787738,0,0.0588295853984969,0,0.0594480477413553,0.280578276583603,0,0.108201860117272,0.136636218719162,0,0.795287187039764,0.659894969596462,0.211951239504901,0,0.512002469961664,0.255100050707961,0.138784930139721,0.299956881198328,0.456974598713205,0.943773951838929,0.254987017429296,0.278570133847225,0.167276529012023,0,0,0,0.020964674523428,0.0122996187118199,0.0175765933857927,0,0
"ASV_7",0,0,0.0415415951972556,0,0,0,0,0.0127427957693918,0.0252544384675607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357587064676617,0,0,0.869632335914786,0,0,0.0121857482986821,0,0,0,0,0.0197479235639194,0,4.219066371928,45.3180764560874,0.0194671977717546,0.0204993645196999,0,0,0
"ASV_9",0,0,0,0,0,0,0.0106442427951782,0,0.0681869838624138,0.102077114620227,0.208051976493777,0.045856834961251,0,0,0,0,0.0342969506200127,0.367367319764124,0,0.0517141243207549,0,0,5.32155130093274,0.435323383084577,0.338419382413902,0,0.537731237296421,2.35362951983461,0.29940119760479,3.34826868637633,1.7982619669028,2.63684722301665,0.377816129483651,1.27646177769722,0.568043213103328,0,0,0,0,0,0,0,0
"ASV_10",1.59857100865987,2.17752199656909,2.10522084048027,1.70666846197866,0.590986394557823,1.14865431374193,1.53454500297152,0.671727376986511,1.10109351718565,0.966639342994571,1.48282658685258,0.623652955473013,0.982569486506494,1.77469135802469,1.99432294500905,2.12801557603967,1.59061635431036,0.822712573711242,0.267230820621312,2.11311867993731,1.16646845980618,1.32387780065962,0.736377025036819,0.335129906025428,2.12888040563486,2.45896471280553,0.73584274577405,1.39563911534111,0.704840319361277,1.95721864981909,1.14434852439269,2.30509637933993,1.70872397655363,1.05608608961945,0.805018295870361,1.94956433325846,0,0,0.989832132856137,0.794350375138371,0.443470971580001,0.951557093425606,0
"ASV_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139166519065813,0,0,0,0,0,0.0694676718038439,0,0,0,0,0,0,0,0,0,17.0541303661323,0,0,0,0,0,0
"ASV_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07020127638684,0.174474847982311,0.211951239504901,0,0.457972058558674,0.462612630182939,0.0499001996007984,1.07422058079151,0.221795202722727,0.80077789853,0.16325388311022,0.186031425000716,0.127780681884184,0,0,0,0,0,0,0,0
"ASV_13",1.24358423587401,1.12888052681091,1.03317967409949,0.976200895411856,1.04166666666667,1.806824851178,1.20989559771858,1.22512879325724,1.18190772028184,1.21255239185239,1.00649706172209,1.88013023341129,1.27700383605895,0,0.979512596884973,1.13017553466581,0.949644454945239,0.823901464713715,0.701480904130943,0.961087110453413,1.05640039472685,0.958456559775792,1.04074619538537,0.160655058043118,0.975444102251836,1.19795716777705,0.396223016955258,0.542185123064321,1.08376996007984,0.628034720008999,0.754294892018241,1.41852084882457,0.841146197739322,0.857652569618683,1.12214671545565,1.32768996133975,0,0,1.19199149433205,1.49337870526014,0.827451934777318,1.14186851211073,1.02179836512262
"ASV_14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00875162103889698,0,0,0,0.207296849087894,0,0,0.131216713407261,0,0.0155938123752495,0,0,0,0,0,0,0,7.10670035108576,5.85194451598661,0,0,0,0,0
"ASV_15",0,0,0,0,0,0.0586903663955731,0,0,0,0.0897041310298962,0.0775632368507501,0,0,0,0,0,0,0.0642001141335362,0,0.0318240765050799,0,0,0,0.0587341072415699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392093237067683,0,0
"ASV_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077419754424539,0.417280314187531,0.0863736871199558,0.103048116444372,0,0,0.521121816125132,0,0.388069215050337,0.448370474469651,0.268832580220786,0.0792947432249639,0.592438538079202,0.393796828715804,0,0,0,0,0,0,0,0
"ASV_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22588929046985,0,0,0,0,0.343642611683849,0.304035378662244,0.155743175989789,0,0.334473975351841,1.42918438194797,0.0966816367265469,0.846440824131531,1.07264748902974,1.24692558485386,0.268980207410171,0.333902557693592,0.241621653017367,0,0,0,0,0,0,0,0
