,SampleID,Sample,Leaf_status,Relabun
1,ASV_1_Pseudoalteromonas,H1,Healthy,10.22783445
2,ASV_1_Pseudoalteromonas,H2,Healthy,9.913812352
3,ASV_1_Pseudoalteromonas,H3,Healthy,2.631578947
4,ASV_1_Pseudoalteromonas,H4,Healthy,0.193038588
5,ASV_1_Pseudoalteromonas,H5,Healthy,4.412220844
6,ASV_1_Pseudoalteromonas,U1,Unhealthy,0.36169683
7,ASV_1_Pseudoalteromonas,U2,Unhealthy,0.140368008
8,ASV_1_Pseudoalteromonas,U3,Unhealthy,1.429112014
9,ASV_1_Pseudoalteromonas,U4,Unhealthy,0.161792517
10,ASV_1_Pseudoalteromonas,U5,Unhealthy,0.963799057
11,ASV_3_Sulfurovum,H1,Healthy,19.07008793
12,ASV_3_Sulfurovum,H2,Healthy,8.143616309
13,ASV_3_Sulfurovum,H3,Healthy,2.894392973
14,ASV_3_Sulfurovum,H4,Healthy,0.27720074
15,ASV_3_Sulfurovum,H5,Healthy,5.009305211
16,ASV_3_Sulfurovum,U1,Unhealthy,0.281756589
17,ASV_3_Sulfurovum,U2,Unhealthy,0.706417259
18,ASV_3_Sulfurovum,U3,Unhealthy,1.09394888
19,ASV_3_Sulfurovum,U4,Unhealthy,0.627035889
20,ASV_3_Sulfurovum,U5,Unhealthy,0.786184093
21,ASV_4_Unidentified Vallitaleaceae,H1,Healthy,0.113842328
22,ASV_4_Unidentified Vallitaleaceae,H2,Healthy,3.863707409
23,ASV_4_Unidentified Vallitaleaceae,H3,Healthy,0.426397336
24,ASV_4_Unidentified Vallitaleaceae,H4,Healthy,0.544382176
25,ASV_4_Unidentified Vallitaleaceae,H5,Healthy,0
26,ASV_4_Unidentified Vallitaleaceae,U1,Unhealthy,6.621935078
27,ASV_4_Unidentified Vallitaleaceae,U2,Unhealthy,37.5865857
28,ASV_4_Unidentified Vallitaleaceae,U3,Unhealthy,2.338278873
29,ASV_4_Unidentified Vallitaleaceae,U4,Unhealthy,28.23890643
30,ASV_4_Unidentified Vallitaleaceae,U5,Unhealthy,2.749860247
31,ASV_5_Fusibacter_B,H1,Healthy,15.43262581
32,ASV_5_Fusibacter_B,H2,Healthy,1.117313446
33,ASV_5_Fusibacter_B,H3,Healthy,14.98973306
34,ASV_5_Fusibacter_B,H4,Healthy,0.103532807
35,ASV_5_Fusibacter_B,H5,Healthy,0.558312655
36,ASV_5_Fusibacter_B,U1,Unhealthy,0.023588924
37,ASV_5_Fusibacter_B,U2,Unhealthy,0.326508193
38,ASV_5_Fusibacter_B,U3,Unhealthy,0.188713553
39,ASV_5_Fusibacter_B,U4,Unhealthy,1.457570811
40,ASV_5_Fusibacter_B,U5,Unhealthy,0
41,ASV_6_Marinobacter,H1,Healthy,0.483829896
42,ASV_6_Marinobacter,H2,Healthy,0.878846068
43,ASV_6_Marinobacter,H3,Healthy,1.521373903
44,ASV_6_Marinobacter,H4,Healthy,0.371382196
45,ASV_6_Marinobacter,H5,Healthy,3.101736973
46,ASV_6_Marinobacter,U1,Unhealthy,7.763376885
47,ASV_6_Marinobacter,U2,Unhealthy,6.618656739
48,ASV_6_Marinobacter,U3,Unhealthy,10.81220544
49,ASV_6_Marinobacter,U4,Unhealthy,9.161051867
50,ASV_6_Marinobacter,U5,Unhealthy,3.894049502
51,ASV_7_Hyphomonas,H1,Healthy,0.055922547
52,ASV_7_Hyphomonas,H2,Healthy,0
53,ASV_7_Hyphomonas,H3,Healthy,0.445555741
54,ASV_7_Hyphomonas,H4,Healthy,0
55,ASV_7_Hyphomonas,H5,Healthy,0
56,ASV_7_Hyphomonas,U1,Unhealthy,0
57,ASV_7_Hyphomonas,U2,Unhealthy,0.038143481
58,ASV_7_Hyphomonas,U3,Unhealthy,0
59,ASV_7_Hyphomonas,U4,Unhealthy,0.012943401
60,ASV_7_Hyphomonas,U5,Unhealthy,0.007929239
61,ASV_8_Robertkochia,H1,Healthy,0.100860308
62,ASV_8_Robertkochia,H2,Healthy,0.016969589
63,ASV_8_Robertkochia,H3,Healthy,0.053545288
64,ASV_8_Robertkochia,H4,Healthy,0.058111962
65,ASV_8_Robertkochia,H5,Healthy,0.046526055
66,ASV_8_Robertkochia,U1,Unhealthy,4.341672455
67,ASV_8_Robertkochia,U2,Unhealthy,0.689634128
68,ASV_8_Robertkochia,U3,Unhealthy,8.770757262
69,ASV_8_Robertkochia,U4,Unhealthy,1.727944085
70,ASV_8_Robertkochia,U5,Unhealthy,11.7927614
71,ASV_9_Vibrio,H1,Healthy,0.031955741
72,ASV_9_Vibrio,H2,Healthy,0.426919127
73,ASV_9_Vibrio,H3,Healthy,0.183724198
74,ASV_9_Vibrio,H4,Healthy,0.056776055
75,ASV_9_Vibrio,H5,Healthy,0
76,ASV_9_Vibrio,U1,Unhealthy,1.710196968
77,ASV_9_Vibrio,U2,Unhealthy,14.27481615
78,ASV_9_Vibrio,U3,Unhealthy,4.098131048
79,ASV_9_Vibrio,U4,Unhealthy,4.275636923
80,ASV_9_Vibrio,U5,Unhealthy,4.51847711
81,ASV_10_Saccharicrinis,H1,Healthy,0.01298202
82,ASV_10_Saccharicrinis,H2,Healthy,0.019648997
83,ASV_10_Saccharicrinis,H3,Healthy,0
84,ASV_10_Saccharicrinis,H4,Healthy,0.062119684
85,ASV_10_Saccharicrinis,H5,Healthy,0
86,ASV_10_Saccharicrinis,U1,Unhealthy,0
87,ASV_10_Saccharicrinis,U2,Unhealthy,0
88,ASV_10_Saccharicrinis,U3,Unhealthy,0.009828831
89,ASV_10_Saccharicrinis,U4,Unhealthy,0.005752623
90,ASV_10_Saccharicrinis,U5,Unhealthy,0
91,ASV_11_Maribacter,H1,Healthy,0
92,ASV_11_Maribacter,H2,Healthy,0
93,ASV_11_Maribacter,H3,Healthy,0
94,ASV_11_Maribacter,H4,Healthy,0.015362933
95,ASV_11_Maribacter,H5,Healthy,0
96,ASV_11_Maribacter,U1,Unhealthy,0
97,ASV_11_Maribacter,U2,Unhealthy,0
98,ASV_11_Maribacter,U3,Unhealthy,0
99,ASV_11_Maribacter,U4,Unhealthy,0
100,ASV_11_Maribacter,U5,Unhealthy,0
101,ASV_12_Ilumatobacter,H1,Healthy,0.00649101
102,ASV_12_Ilumatobacter,H2,Healthy,0.075916581
103,ASV_12_Ilumatobacter,H3,Healthy,0.13853001
104,ASV_12_Ilumatobacter,H4,Healthy,0.124907321
105,ASV_12_Ilumatobacter,H5,Healthy,0
106,ASV_12_Ilumatobacter,U1,Unhealthy,12.09194438
107,ASV_12_Ilumatobacter,U2,Unhealthy,0.125110616
108,ASV_12_Ilumatobacter,U3,Unhealthy,7.465488517
109,ASV_12_Ilumatobacter,U4,Unhealthy,1.203736329
110,ASV_12_Ilumatobacter,U5,Unhealthy,0.589935416
111,ASV_13_Cohaesibacter,H1,Healthy,0
112,ASV_13_Cohaesibacter,H2,Healthy,0
113,ASV_13_Cohaesibacter,H3,Healthy,0
114,ASV_13_Cohaesibacter,H4,Healthy,0.050764473
115,ASV_13_Cohaesibacter,H5,Healthy,0
116,ASV_13_Cohaesibacter,U1,Unhealthy,0
117,ASV_13_Cohaesibacter,U2,Unhealthy,0
118,ASV_13_Cohaesibacter,U3,Unhealthy,0
119,ASV_13_Cohaesibacter,U4,Unhealthy,0
120,ASV_13_Cohaesibacter,U5,Unhealthy,0
121,ASV_14_Halomonas,H1,Healthy,0.146796687
122,ASV_14_Halomonas,H2,Healthy,0.083954807
123,ASV_14_Halomonas,H3,Healthy,1.925665386
124,ASV_14_Halomonas,H4,Healthy,0
125,ASV_14_Halomonas,H5,Healthy,0
126,ASV_14_Halomonas,U1,Unhealthy,0
127,ASV_14_Halomonas,U2,Unhealthy,0
128,ASV_14_Halomonas,U3,Unhealthy,0.005897299
129,ASV_14_Halomonas,U4,Unhealthy,0
130,ASV_14_Halomonas,U5,Unhealthy,0.010308011
131,ASV_15_Flavobacterium,H1,Healthy,3.654937911
132,ASV_15_Flavobacterium,H2,Healthy,0.215245836
133,ASV_15_Flavobacterium,H3,Healthy,6.580175471
134,ASV_15_Flavobacterium,H4,Healthy,2.426675395
