Sample,Salinity,Root,Distance
X1,Ambient,Intact,34.085
X10,Ambient,Disrupted,26.956
X11,Ambient,Disrupted,25.234
X12,Ambient,Disrupted,30.329
X2,Ambient,Intact,34.791
X3,Ambient,Intact,35.531
X39,Medium,Intact,30.452
X4,Ambient,Intact,34.385
X40,Medium,Intact,33.581
X41,Medium,Intact,28.078
X42,Medium,Intact,30.115
X43,Medium,Intact,43.258
X44,Medium,Intact,24.598
X46,Medium,Disrupted,27.339
X47,Medium,Disrupted,23.932
X48,Medium,Disrupted,27.166
X49,Medium,Disrupted,33.648
X5,Ambient,Intact,41.539
X50,Medium,Disrupted,26.364
X6,Ambient,Intact,30.228
X7,Ambient,Disrupted,29.309
X77,Low,Intact,47.542
X78,Low,Intact,50.305
X79,Low,Intact,36.007
X8,Ambient,Disrupted,31.381
X80,Low,Intact,39.407
X81,Low,Intact,37.652
X82,Low,Intact,37.375
X83,Low,Disrupted,26.648
X84,Low,Disrupted,27.054
X85,Low,Disrupted,50.329
X86,Low,Disrupted,27.037
X87,Low,Disrupted,27.035
X88,Low,Disrupted,26.012
X9,Ambient,Disrupted,24.028
