"","(Intercept)","Root","Salinity","Root:Salinity"
"ASV_28",NA,1,0.36963036963037,0.737262737262737
"ASV_49",NA,0.999000999000999,0.601398601398601,0.901098901098901
"ASV_9",NA,1,0.000999000999000999,1
"ASV_4",NA,1,0.003996003996004,1
"ASV_244",NA,0.999000999000999,0.96003996003996,0.993006993006993
"ASV_116",NA,0.999000999000999,0.000999000999000999,1
"ASV_101",NA,0.999000999000999,0.014985014985015,1
"ASV_76",NA,0.995004995004995,0.628371628371628,0.941058941058941
"ASV_1062",NA,0.992007992007992,0.96003996003996,1
"ASV_3",NA,0.99000999000999,0.926073926073926,1
"ASV_39",NA,0.995004995004995,0.884115884115884,1
"ASV_32",NA,1,0.128871128871129,0.682317682317682
"ASV_10",NA,0.648351648351648,1,1
"ASV_415",NA,0.942057942057942,0.978021978021978,1
"ASV_65",NA,0.999000999000999,0.00599400599400599,1
"ASV_47",NA,0.999000999000999,0.987012987012987,0.989010989010989
"ASV_22",NA,0.999000999000999,0.632367632367632,1
"ASV_249",NA,1,0.841158841158841,1
"ASV_351",NA,0.999000999000999,0.575424575424575,0.756243756243756
"ASV_13",NA,0.999000999000999,0.987012987012987,1
"ASV_581",NA,0.992007992007992,0.96003996003996,1
"ASV_18",NA,0.992007992007992,0.963036963036963,1
"ASV_689",NA,1,0.000999000999000999,1
"ASV_34",NA,0.999000999000999,0.842157842157842,1
"ASV_73",NA,0.997002997002997,0.31968031968032,1
"ASV_112",NA,0.944055944055944,0.992007992007992,1
"ASV_33",NA,0.999000999000999,0.026973026973027,1
"ASV_100",NA,0.992007992007992,0.914085914085914,1
"ASV_327",NA,1,1,1
"ASV_26",NA,1,0.997002997002997,1
"ASV_21",NA,0.997002997002997,0.477522477522478,1
"ASV_23",NA,0.999000999000999,0.406593406593407,1
"ASV_284",NA,1,0.000999000999000999,1
"ASV_19",NA,0.992007992007992,1,1
"ASV_31",NA,1,0.00799200799200799,0.997002997002997
"ASV_140",NA,1,0.000999000999000999,1
"ASV_763",NA,1,0.748251748251748,0.627372627372627
"ASV_30",NA,0.999000999000999,0.000999000999000999,1
"ASV_80",NA,1,0.002997002997003,1
"ASV_17",NA,1,0.001998001998002,0.44955044955045
"ASV_188",NA,0.999000999000999,0.979020979020979,1
"ASV_29",NA,0.999000999000999,1,1
"ASV_224",NA,0.999000999000999,1,1
"ASV_548",NA,0.999000999000999,0.994005994005994,1
"ASV_25",NA,1,0.000999000999000999,0.976023976023976
"ASV_48",NA,0.995004995004995,0.731268731268731,1
"ASV_260",NA,1,0.028971028971029,0.936063936063936
"ASV_663",NA,0.999000999000999,0.162837162837163,1
"ASV_43",NA,0.806193806193806,0.290709290709291,1
"ASV_147",NA,0.999000999000999,0.883116883116883,1
"ASV_420",NA,0.999000999000999,0.835164835164835,0.993006993006993
"ASV_250",NA,0.999000999000999,0.998001998001998,1
"ASV_358",NA,0.965034965034965,0.994005994005994,0.993006993006993
"ASV_27",NA,0.999000999000999,0.000999000999000999,1
"ASV_501",NA,0.999000999000999,0.168831168831169,1
"ASV_52",NA,0.999000999000999,0.979020979020979,1
"ASV_106",NA,1,0.65034965034965,1
"ASV_302",NA,0.999000999000999,0.000999000999000999,1
"ASV_134",NA,0.965034965034965,1,1
"ASV_12",NA,1,0.000999000999000999,1
"ASV_1005",NA,1,0.992007992007992,1
"ASV_485",NA,1,0.0819180819180819,1
"ASV_2014",NA,0.992007992007992,0.96003996003996,1
"ASV_37",NA,0.999000999000999,0.994005994005994,1
"ASV_442",NA,0.998001998001998,0.978021978021978,1
"ASV_222",NA,0.963036963036963,1,1
"ASV_988",NA,1,0.994005994005994,0.999000999000999
"ASV_111",NA,1,0.684315684315684,1
"ASV_212",NA,1,0.999000999000999,1
"ASV_1705",NA,0.999000999000999,0.994005994005994,1
"ASV_46",NA,0.992007992007992,0.992007992007992,1
"ASV_41",NA,0.995004995004995,0.968031968031968,1
"ASV_6",NA,1,0.418581418581419,1
"ASV_60",NA,1,0.000999000999000999,1
"ASV_168",NA,0.931068931068931,0.994005994005994,1
"ASV_692",NA,0.992007992007992,0.992007992007992,0.989010989010989
"ASV_423",NA,1,0.945054945054945,1
"ASV_20",NA,1,0.000999000999000999,1
"ASV_70",NA,0.999000999000999,0.992007992007992,1
"ASV_7",NA,0.999000999000999,0.992007992007992,1
"ASV_553",NA,1,0.000999000999000999,1
"ASV_578",NA,1,0.014985014985015,0.737262737262737
"ASV_50",NA,0.999000999000999,0.17982017982018,0.917082917082917
"ASV_608",NA,0.999000999000999,0.00899100899100899,1
"ASV_36",NA,1,0.000999000999000999,1
"ASV_278",NA,1,0.96003996003996,0.936063936063936
"ASV_304",NA,0.999000999000999,0.998001998001998,1
"ASV_59",NA,0.999000999000999,0.992007992007992,1
"ASV_118",NA,0.000999000999000999,1,1
"ASV_936",NA,0.999000999000999,0.994005994005994,0.737262737262737
"ASV_72",NA,0.998001998001998,0.987012987012987,1
"ASV_724",NA,0.965034965034965,0.992007992007992,1
"ASV_115",NA,1,0.051948051948052,0.783216783216783
"ASV_1050",NA,0.999000999000999,0.994005994005994,1
"ASV_74",NA,0.999000999000999,1,1
"ASV_99",NA,1,0.968031968031968,1
"ASV_78",NA,0.999000999000999,0.981018981018981,1
"ASV_316",NA,0.999000999000999,0.891108891108891,0.999000999000999
"ASV_369",NA,0.999000999000999,0.992007992007992,1
"ASV_135",NA,1,0.999000999000999,1
"ASV_86",NA,1,0.978021978021978,1
"ASV_1004",NA,0.998001998001998,0.994005994005994,1
"ASV_40",NA,0.999000999000999,0.985014985014985,1
