"","SampleID","Salinity","Mean_Relabun","SEM"
"1","ASV_1000_Unidentified Gammaproteobacteria","Ambient",0.0226759381666667,0.00629887067035002
"2","ASV_1000_Unidentified Gammaproteobacteria","Low",0.0153636150833333,0.00503253914311764
"3","ASV_1000_Unidentified Gammaproteobacteria","Medium",0.0345286242727273,0.00886526115531585
"4","ASV_1001_Desulfobulbus","Ambient",0.0393008384166667,0.0296429116266534
"5","ASV_1001_Desulfobulbus","Low",0.0345219815,0.0158081081975328
"6","ASV_1001_Desulfobulbus","Medium",0.0166266785454545,0.00724462537908836
"7","ASV_1002_Unidentified Spirochaetia","Ambient",0.05540597375,0.0227312145813698
"8","ASV_1002_Unidentified Spirochaetia","Low",0.0254688283333333,0.00872304658101382
"9","ASV_1002_Unidentified Spirochaetia","Medium",0.0250058753636364,0.0081720024910788
"10","ASV_1003_IMCC26207","Ambient",0.027701053,0.0125326968334069
"11","ASV_1003_IMCC26207","Low",0.0264646701666667,0.00962093249059577
"12","ASV_1003_IMCC26207","Medium",0.0311498171818182,0.00845391023293189
"13","ASV_1004_Desulfosarcina","Ambient",0.07730523425,0.0590932120537455
"14","ASV_1004_Desulfosarcina","Low",0.03623520625,0.0147842902544968
"15","ASV_1004_Desulfosarcina","Medium",0.0130317964545455,0.00773074925761504
"16","ASV_1005_Unidentified Bacteria","Ambient",0.00325124433333333,0.00325124433333333
"17","ASV_1005_Unidentified Bacteria","Low",0.132878516333333,0.0871225825125292
"18","ASV_1005_Unidentified Bacteria","Medium",0.00473946572727273,0.00329981964700247
"19","ASV_1006_Halodesulfovibrio","Ambient",0.0314291596666667,0.00924875536004724
"20","ASV_1006_Halodesulfovibrio","Low",0.0124292049166667,0.00470112601806978
"21","ASV_1006_Halodesulfovibrio","Medium",0.0284506026363636,0.00901003520276461
"22","ASV_1008_Unidentified Xanthobacteraceae","Ambient",0.0226762703333333,0.00670377150462431
"23","ASV_1008_Unidentified Xanthobacteraceae","Low",0.00747610383333333,0.00301258734534391
"24","ASV_1008_Unidentified Xanthobacteraceae","Medium",0.0370246985454545,0.009667520431322
"25","ASV_1009_WLWV01","Ambient",0.0229562094166667,0.00771053061525763
"26","ASV_1009_WLWV01","Low",0.0386340809166667,0.0198199841688048
"27","ASV_1009_WLWV01","Medium",0.0246314032727273,0.0159561001295992
"28","ASV_100_Maritimibacter","Ambient",0.1891820435,0.0394466789625585
"29","ASV_100_Maritimibacter","Low",0.36463104475,0.134703092314987
"30","ASV_100_Maritimibacter","Medium",0.291532237272727,0.0836521042764722
