SampleID,X1_Ambient_Intact,X10_Ambient_Disrupted,X11_Ambient_Disrupted,X12_Ambient_Disrupted,X2_Ambient_Intact,X3_Ambient_Intact,X39_Medium_Intact,X4_Ambient_Intact,X40_Medium_Intact,X41_Medium_Intact,X42_Medium_Intact,X43_Medium_Intact,X44_Medium_Intact,X46_Medium_Disrupted,X47_Medium_Disrupted,X48_Medium_Disrupted,X49_Medium_Disrupted,X5_Ambient_Intact,X50_Medium_Disrupted,X6_Ambient_Intact,X7_Ambient_Disrupted,X77_Low_Intact,X78_Low_Intact,X79_Low_Intact,X8_Ambient_Disrupted,X80_Low_Intact,X81_Low_Intact,X82_Low_Intact,X83_Low_Disrupted,X84_Low_Disrupted,X85_Low_Disrupted,X86_Low_Disrupted,X87_Low_Disrupted,X88_Low_Disrupted,X9_Ambient_Disrupted
ASV_1_Pseudoalteromonas,0,0,0.028141081,0,0,0,0,0,0.083339647,0,0.025550243,0,0,0,0,0,0,0,0,0.003795451,0,0,0.176202322,0,0,0.156945481,0.00312049,0.014034431,0,0,0,0,0.005724044,0.011616426,0
ASV_3_Sulfurovum,0,0,0.006700257,0,0,0.058690366,0,0,0,0,0.026462751,0,0,0,0,0.003048618,0.03566673,0,0.023868057,0,0,0,2.689676617,0.014052016,0.02732183,0.362775619,0.01560245,0,0,0.061184884,0,0.023321983,0,0.04530406,0
ASV_4_Unidentified Vallitaleaceae,0.088181428,0.059026433,0.134005146,0,0.12329932,0,1.559381569,0.038228387,0.654089956,0.632568786,1.114173085,0.600724538,0.851335891,0.185313194,0.208390374,0.464152065,0.815579228,0.094644249,0.280847475,0.622453885,0,3.942071674,1.62037037,0.597210675,0.067253736,1.710963028,1.823926356,0.959019461,2.529011455,0.885268783,2.688325802,0.900228555,4.812966867,0.630771911,0.073300781
ASV_5_QGON01,0,0,0,0,0,0.050306028,0,0,0.042932545,0.006186492,0.172464138,0,0.023554748,0,0.009126586,0,0,0,0,0,0,0,0,0,0,0,0,0.029628244,0,0,0,0,0,0.009293141,0
ASV_6_Unidentified Bacteria,0,0.042425249,0,0.07069041,0,0.230569297,0.107329448,0,0.419223679,0.133009574,0.236339745,0,0.139646006,0.058829585,0,0.059448048,0.280578277,0,0.10820186,0.136636219,0,0.795287187,0.65989497,0.21195124,0,0.51200247,0.255100051,0.13878493,0.299956881,0.456974599,0.943773952,0.254987017,0.278570134,0.167276529,0
ASV_7_Unidentified Spirochaetia,0,0,0.041541595,0,0,0,0,0.012742796,0.025254438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357587065,0,0,0.869632336,0,0,0.012185748,0,0,0,0,0.019747924,0
ASV_9_Caldithrix,0,0,0,0,0,0,0.010644243,0,0.068186984,0.102077115,0.208051976,0.045856835,0,0,0,0.034296951,0.36736732,0,0.051714124,0,0,5.321551301,0.435323383,0.338419382,0,0.537731237,2.35362952,0.299401198,3.348268686,1.798261967,2.636847223,0.377816129,1.276461778,0.568043213,0
ASV_10_Unidentified Spirochaetia,1.598571009,2.177521997,2.10522084,1.706668462,0.590986395,1.148654314,1.534545003,0.671727377,1.101093517,0.966639343,1.482826587,0.623652955,0.982569487,1.994322945,2.128015576,1.590616354,0.822712574,0.267230821,2.11311868,1.16646846,1.323877801,0.736377025,0.335129906,2.128880406,2.458964713,0.735842746,1.395639115,0.704840319,1.95721865,1.144348524,2.305096379,1.708723977,1.05608609,0.805018296,1.949564333
ASV_11_Fusibacter_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013916652,0,0,0,0,0,0.069467672,0,0,0,0,0,0,0,0,0
ASV_12_Unidentified Gammaproteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.070201276,0.174474848,0.21195124,0,0.457972059,0.46261263,0.0499002,1.074220581,0.221795203,0.800777899,0.163253883,0.186031425,0.127780682,0
ASV_13_Fulvivirga,1.243584236,1.128880527,1.033179674,0.976200895,1.041666667,1.806824851,1.209895598,1.225128793,1.18190772,1.212552392,1.006497062,1.880130233,1.277003836,0.979512597,1.130175535,0.949644455,0.823901465,0.701480904,0.96108711,1.056400395,0.95845656,1.040746195,0.160655058,0.975444102,1.197957168,0.396223017,0.542185123,1.08376996,0.62803472,0.754294892,1.418520849,0.841146198,0.85765257,1.122146715,1.327689961
ASV_14_Vibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008751621,0,0,0,0.207296849,0,0,0.131216713,0,0.015593812,0,0,0,0,0,0,0
ASV_15_Hyphomonas,0,0,0,0,0,0.058690366,0,0,0,0.089704131,0.077563237,0,0,0,0,0,0.064200114,0,0.031824077,0,0,0,0.058734107,0,0,0,0,0,0,0,0,0,0,0,0
ASV_16_Robertkochia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007741975,0.417280314,0.086373687,0.103048116,0,0,0.521121816,0,0.388069215,0.448370474,0.26883258,0.079294743,0.592438538,0.393796829,0
